Lambda,Policy,Total Latency (s),Total Latency std (s),Avg Inference Time (s),Inference Time std (s),Avg Device Queue Length,Avg Cloud Queue Length
1.1,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.14311492650768323,0.060485518688206355,0.13066969510870885,0.046714358464176826,0.0,0.013713621778283041
1.1,Round Robin 2x Device,0.12740448368876514,0.02291325038868964,0.12698701673000098,0.022276712334633776,0.0,0.0
1.1,Round Robin 2x Cloud,0.1314254184903191,0.04738285217616594,0.1308439971417405,0.046849222310227805,0.0,0.0
1.1,Round Robin (Device/Cloud),0.12935704700475098,0.03723956200010335,0.12885862247145327,0.03670636703176899,0.00023358695170232752,0.00031563588880692615
1.1,Stateless Threshold,0.13156788102239142,0.04233166042348513,0.12636679319860558,0.03553473270731482,0.003120663977428073,0.0026105068985238468
1.1,HERO,0.12671597694375616,0.03256719775843385,0.12631157342536617,0.03212945056763424,0.0002924292364519205,0.00015319018569885686
1.2000000000000002,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.13888737495407263,0.0412971679876879,0.126990362160904,0.022270044314960803,0.014301303758387321,0.0
1.2000000000000002,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.14446262789622646,0.0619417757523778,0.1306692415062592,0.04671397174837686,0.0,0.016580920902478067
1.2000000000000002,Round Robin 2x Device,0.12747475617778664,0.023039010067495706,0.1269788916215479,0.02228280891356733,0.0,0.0
1.2000000000000002,Round Robin 2x Cloud,0.13153186892625737,0.0474846843325281,0.13084363643577238,0.04685097115030562,0.0,0.0
1.2000000000000002,Round Robin (Device/Cloud),0.12944982700698307,0.03733666239779542,0.1288579067804646,0.03669855790298458,0.0003033232740678689,0.00040821933832116414
1.2000000000000002,Stateless Threshold,0.131994700290774,0.04288399410891961,0.1263553151198263,0.03558711184512292,0.003695232579919548,0.003083827479664369
1.2000000000000002,HERO,0.1268238025896398,0.032777499834383036,0.12634238532552403,0.03226563269199151,0.0003802831100469575,0.00019842477690402182
1.3000000000000003,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.14011012076488033,0.04299046365495349,0.12699668793201863,0.0222954172092986,0.017077180910532824,0.0
1.3000000000000003,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.1458472322523827,0.06343630667260594,0.13066961422496604,0.04671428414557103,0.0,0.0197653023719843
1.3000000000000003,Round Robin 2x Device,0.1275691204413746,0.023160329774183162,0.12698521739266255,0.022268022208423097,0.0,0.0
1.3000000000000003,Round Robin 2x Cloud,0.13164925490044185,0.04759417549979069,0.1308439863617564,0.046851350913805906,0.0,0.0
1.3000000000000003,Round Robin (Device/Cloud),0.1295593780505374,0.037454045823769475,0.12886581197110594,0.03670524031267883,0.0003864314224233371,0.0005167763398583648
1.3000000000000003,Stateless Threshold,0.13249041256411712,0.04349704989921292,0.12636124160644704,0.03552783934375833,0.004291351490184971,0.003690461908533368
1.3000000000000003,HERO,0.12692703499018354,0.03293407047013073,0.12636209472427187,0.032335950864214216,0.000474443611215433,0.00026125918454757315
